brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,Q3,Diesel,2nd,2014.0,Manual,"93,488","12,49,000"
Audi,Q3,Diesel,2nd,2013.0,Manual,"57,000","10,20,000"
Audi,Q3,Diesel,2nd,2013.0,Manual,"57,000","10,20,000"
Audi,Q5,Diesel,2nd,2015.0,Automatic,"70,000","20,00,000"
Audi,A7,Electric,2nd,2018.0,Automatic,"100,000","22,000"
Audi,Q5,Diesel,2nd,2014.0,Automatic,"50,000","23,50,000"
Audi,A6,Diesel,2nd,2013.0,Manual,"69,000","13,75,000"
Audi,Q5,Diesel,1st,2011.0,Automatic,"68,000","13,99,999"
Audi,A4,Diesel,1st,2012.0,Automatic,"50,000","19,500"
Audi,A6,Diesel,1st,2012.0,Automatic,"39,000","12,75,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"85,000","9,50,000"
Audi,A7,Diesel,1st,2020.0,Automatic,"170,000","16,000"
Audi,A4,Diesel,2nd,2011.0,Automatic,"82,000","9,25,000"
Audi,Q3,Diesel,1st,2018.0,Automatic,"37,000","26,50,000"
Audi,A6,Diesel,2nd,2015.0,Automatic,"70,000","22,00,000"
Audi,Q3,Diesel,1st,2019.0,Automatic,"60,000","38,00,000"
Audi,Q3,Diesel,1st,2017.0,Automatic,"58,000","28,40,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"70,000","13,50,000"
Audi,Q7,Diesel,1st,2015.0,Automatic,"24,200","32,99,000"
Audi,A6,Diesel,2nd,2012.0,Automatic,"100,000","12,50,000"
,,,,,,"65,000","12,00,000"
Audi,A4,Petrol,1st,2017.0,Automatic,"24,845","29,85,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"98,000","8,65,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"85,000","15,00,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"60,000","12,25,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"80,000","13,75,000"
Audi,A6,Diesel,1st,2016.0,Automatic,"115,000","30,00,000"
Audi,A6,Diesel,1st,2019.0,Automatic,"16,000","43,50,000"
Audi,A4,Diesel,1st,2018.0,Automatic,"22,000","37,00,000"
Audi,A4,Petrol,1st,2010.0,Automatic,"60,000","13,50,000"
Audi,A7,Diesel,1st,2012.0,Automatic,"51,000","15,00,000"
Audi,S5,Petrol,1st,1900.0,Automatic,0,"70,000"
Audi,Q7,Diesel,2nd,2014.0,Automatic,"107,000","22,50,000"
Audi,A6,Diesel,1st,2011.0,Automatic,"76,000","8,70,000"
Audi,A6,Diesel,2nd,2009.0,Automatic,"129,000","5,75,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"80,000","14,50,000"
,,,,,,"65,000","19,50,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"71,000","17,00,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"98,200","10,99,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"55,000","9,99,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"69,000","19,00,000"
Audi,Q5,Diesel,1st,2017.0,Automatic,"39,376","35,00,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"46,000","14,00,000"
Audi,Q5,Diesel,1st,2018.0,Automatic,"31,428","45,00,000"
Audi,Q7,Petrol,2nd,2019.0,Automatic,"17,000","64,75,000"
Audi,Q3,Diesel,1st,2013.0,Automatic,"48,000","11,75,000"
Audi,A6,Petrol,3rd,2008.0,Automatic,"68,000","5,25,000"
Audi,Q7,Diesel,1st,2015.0,Automatic,"105,000","23,50,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"68,000","13,00,000"
Audi,Q7,Diesel,1st,2014.0,Automatic,"36,000","24,99,000"
Audi,Q5,Diesel,1st,2012.0,Automatic,"90,000","14,75,000"
Audi,Q7,Diesel,2nd,2012.0,Automatic,"128,000","18,00,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"105,000","14,00,000"
Audi,Q5,Petrol,3rd,2009.0,Automatic,"62,000","10,00,000"
Audi,A7,Diesel,3rd,2012.0,Automatic,"61,000","20,00,000"
Audi,Q5,Diesel,,2018.0,Automatic,"30,000","45,00,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"47,000","15,90,000"
Audi,Q5,Diesel,,2018.0,Automatic,"35,495","52,00,000"
Audi,A4,Petrol,3rd,2006.0,Automatic,"63,260","6,25,000"
Audi,A3,Diesel,1st,2015.0,Automatic,"85,000","14,99,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"98,000","12,40,000"
Audi,Q5,Diesel,2nd,2011.0,Automatic,"100,900","11,00,000"
Audi,Q5,Diesel,1st,2015.0,Automatic,"64,000","18,50,000"
Audi,A4,Diesel,1st,2019.0,Automatic,"11,650","35,00,000"
Audi,Q3,Diesel,1st,2016.0,Automatic,"43,000","21,00,000"
Audi,A4,Diesel,1st,2010.0,Automatic,"79,000","8,50,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"56,000","16,50,000"
Audi,Q7,Diesel,1st,2012.0,Automatic,"74,000","16,45,000"
Audi,TT,Petrol,,2014.0,Automatic,"24,000","31,00,000"
Audi,Q7,Diesel,1st,2013.0,Automatic,"67,000","20,75,000"
Audi,A4,Diesel,1st,2013.0,Manual,"30,620","17,50,000"
